Titulo,Autor,Genero,Descricao,Data_Publicacao
Jane Eyre,Charlotte Brontë,Romance,A jornada de uma órfã independente que se torna governanta e descobre segredos sombrios.,1847-10-16
Moby Dick,Herman Melville,Aventura,A obsessiva e autodestrutiva caça do capitão Ahab à baleia branca.,1851-10-18
A Ilha do Tesouro,Robert Louis Stevenson,Aventura,A busca por um tesouro pirata guiada por mapas antigos e jovens corajosos.,1883-11-14
As Viagens de Gulliver,Jonathan Swift,Sátira,As fantásticas viagens de Lemuel Gulliver a ilhas habitadas por seres minoriais e gigantes.,1726-10-28
Robinson Crusoé,Daniel Defoe,Aventura,A sobrevivência solitária de um náufrago em uma ilha deserta por mais de vinte anos.,1719-04-25
A Divina Comédia,Dante Alighieri,Poesia Épica,"A jornada alegórica do autor pelo Inferno, Purgatório e Paraíso guiado por Virgílio.",1320-01-01
A Ilíada,Homero,Poesia Épica,O relato dos momentos cruciais da Guerra de Troia e a fúria do herói Aquiles.,0750-01-01
A Odisseia,Homero,Poesia Épica,O longo e perigoso retorno de Odisseu para casa após a queda de Troia.,0725-01-01
Dom Quixote,Miguel de Cervantes,Romance,As aventuras de um fidalgo delirante que decide reviver os tempos de cavalaria.,1605-01-01
Hamlet,William Shakespeare,Tragédia,A hesitação e a busca por vingança do príncipe da Dinamarca contra seu tio.,1603-01-01
Romeu e Julieta,William Shakespeare,Tragédia,O trágico romance entre jovens de duas famílias inimigas em Verona.,1597-01-01
Macbeth,William Shakespeare,Tragédia,A ambição desenfreada impulsiona um nobre a usurpar o trono escocês.,1606-01-01
Otelo,William Shakespeare,Tragédia,A manipulação psicológica de um general veneziano alimentada pelo ciúme.,1604-01-01
Rei Lear,William Shakespeare,Tragédia,A trágica decadência de um monarca que divide seu reino entre suas filhas.,1608-01-01
O Conde de Monte Cristo,Alexandre Dumas,Aventura,A elaborada vingança de Edmond Dantès após ser injustamente preso por catorze anos.,1844-08-28
Os Três Mosqueteiros,Alexandre Dumas,Aventura,As façanhas de D'Artagnan e seus amigos mosqueteiros na defesa da coroa francesa.,1844-03-14
Os Miseráveis,Victor Hugo,Romance Histórico,A redenção do ex-presidiário Jean Valjean na França do século XIX.,1862-04-03
O Corcunda de Notre-Dame,Victor Hugo,Romance Gótico,"A trágica história de Quasimodo, o sineiro corcunda, e seu amor pela cigana Esmeralda.",1831-03-16
A Metamorfose,Franz Kafka,Ficção Absurda,A transformação de um homem comum em um inseto e o impacto em sua família.,1915-10-01
O Velho e o Mar,Ernest Hemingway,Novela,A luta épica de um velho pescador cubano contra um enorme espadarte em alto-mar.,1952-09-01
O Sol Nasce para Todos,Ernest Hemingway,Romance,A Geração Perdida em viagens entre Paris e a Espanha pós-Primeira Guerra.,1926-10-22
Por Quem os Sinos Dobram,Ernest Hemingway,Romance Histórico,A atuação de um dinamitista americano nas Brigadas Internacionais durante a Guerra Civil Espanhola.,1940-10-21
As Vinhas da Ira,John Steinbeck,Romance,A jornada da família Joad em busca de uma vida melhor na Califórnia durante a Grande Depressão.,1939-04-14
Ratos e Homens,John Steinbeck,Novela,O sonho compartilhado de dois trabalhadores rurais itinerantes na Grande Depressão.,1937-02-25
A Sangue Frio,Truman Capote,Não-Ficção,O relato jornalístico detalhado sobre o brutal assassinato de uma família no Kansas.,1966-01-17
Bonequinha de Luxo,Truman Capote,Novela,A vida excêntrica e charmosa da jovem Holly Golightly em Nova York.,1958-11-01
O Apanhador no Campo de Centeio,J.D. Salinger,Romance,A rebeldia e a alienação do jovem Holden Caulfield vagando por Nova York.,1951-07-16
Sapiens: Uma Breve História da Humanidade,Yuval Noah Harari,História,Uma análise abrangente da evolução humana e do impacto das revoluções na sociedade.,2011-09-04
Homo Deus,Yuval Noah Harari,História,Uma reflexão sobre o futuro da humanidade e os desafios tecnológicos e biológicos.,2016-09-08
Breves Respostas para Grandes Questões,Stephen Hawking,Divulgação Científica,"As últimas reflexões de um renomado físico sobre o universo, o tempo e a ciência.",2018-10-16
Uma Breve História do Tempo,Stephen Hawking,Divulgação Científica,"A exploração dos mistérios do universo, buracos negros e a origem do cosmos.",1988-04-01
O Gene Egoísta,Richard Dawkins,Biologia,A teoria de que os genes são as unidades centrais da evolução natural.,1976-01-01
Cosmos,Carl Sagan,Divulgação Científica,A fascinante jornada pela vastidão do universo e a evolução da ciência e civilização.,1980-10-01
Contato,Carl Sagan,Ficção Científica,O primeiro contato da humanidade com uma civilização alienígena inteligente.,1985-09-01
Pálido Ponto Azul,Carl Sagan,Divulgação Científica,Uma visão do futuro humano no espaço inspirada na famosa fotografia da Terra.,1994-01-01
De 0 a 1,Peter Thiel,Negócios,"Notas sobre startups, inovação e como construir o futuro nos negócios.",2014-09-16
"Pai Rico, Pai Pobre",Robert Kiyosaki,Finanças Pessoais,Lições sobre educação financeira e a importância de fazer o dinheiro trabalhar para você.,1997-04-01
A Riqueza das Nações,Adam Smith,Economia,A obra fundamental sobre economia clássica e o funcionamento do livre mercado.,1776-03-09
O Príncipe,Niccolò Machiavelli,Ciência Política,Tratado político sobre a conquista e manutenção do poder por governantes.,1532-01-01
A República,Platão,Filosofia,"Diálogos socráticos sobre justiça, a natureza do Estado e o mundo das ideias.",0375-01-01
Assim Falou Zaratustra,Friedrich Nietzsche,Filosofia,"Obra filosófica sobre o Übermensch, a morte de Deus e a vontade de poder.",1883-01-01
Meditações,Marco Aurélio,Filosofia,Reflexões íntimas de um imperador romano sobre o estoicismo e a virtude.,0180-01-01
O Manifesto Comunista,"Karl Marx, Friedrich Engels",Política,O panfleto histórico que propõe a luta de classes e a derrocada do capitalismo.,1848-02-21
O Segundo Sexo,Simone de Beauvoir,Ensaio,A análise pioneira sobre a opressão da mulher e a construção social do gênero.,1949-06-08
Cartas a um Jovem Poeta,Rainer Maria Rilke,Epistolografia,"Conselhos profundos sobre arte, solidão e o ofício da escrita.",1929-01-01
Breviário da Decadência,Emil Cioran,Filosofia,Aforismos céticos e pessimistas sobre a existência humana.,1949-01-01
A Interpretação dos Sonhos,Sigmund Freud,Psicanálise,A fundação da psicanálise através da análise dos sonhos e do inconsciente.,1899-11-04
O Homem e Seus Símbolos,Carl Jung,Psicologia,A introdução aos conceitos de inconsciente coletivo e arquétipos.,1964-01-01
Em Busca de Sentido,Viktor E. Frankl,Psicologia,O relato comovente de um psiquiatra sobrevivente de campos de concentração e sua terapia do sentido.,1946-01-01
Mindset: A Nova Psicologia do Sucesso,Carol S. Dweck,Psicologia,Como a atitude mental e a crença em nossas capacidades moldam nossas realizações.,2006-12-26
Rápido e Devagar,Daniel Kahneman,Psicologia,As duas formas de pensamento que moldam nossas tomadas de decisão e julgamentos.,2011-10-25
livros.txt
Exibindo livros.txt.
